date,time,DOY,ALB_1_1_1,CHK__1_1_1,DAQM_T_1_1_1,VIN_1_1_1,DRM_POWER_STATUS_1_1_1,DRM_V_BATTERY_1_1_1,DRM_V_MAIN_1_1_1,LWIN_1_1_1,LWOUT_1_1_1,PPFD_1_1_1,P_RAIN_1_1_1,RH_1_1_1,RN_1_1_1,SHF_1_1_1,SHF_2_1_1,SHF_3_1_1,SWC_1_2_1,SWC_1_3_1,SWC_1_4_1,SWIN_1_1_1,SWOUT_1_1_1,TA_1_1_1,TCNR4_C_1_1_1,TS_1_1_1,TS_2_1_1,TS_3_1_1
[yyyy-mm-dd],[HH:MM],[ddd.ddd],[%],[OTHER],[C],[V],[OTHER],[V],[V],[W/m^2],[W/m^2],[µmol/m^2/s],[m],[%],[W/m^2],[W/m^2],[W/m^2],[W/m^2],[m^3/m^3],[m^3/m^3],[m^3/m^3],[W/m^2],[W/m^2],[K],[C],[K],[K],[K]
2022-06-30,16:00,181.6665,0.665934,121.233,6.18724,12.2135,15,0,11.405,-27.1552,1.2869,57.8588,0,82.4607,-23.1456,-3.50036,-26.0185,-2.8351,0.418246,0.428584,0.422745,15.3454,10.0489,273.403,-156.759,-9999,-9999,-9999
2022-06-30,16:30,181.6873,0.821803,126.333,5.9401,12.2136,15,0,11.4059,-26.3926,2.2317,43.7169,0,87.1642,-26.6947,-3.50734,-27.3512,-2.84323,0.418238,0.428582,0.422743,10.6399,8.71036,272.468,-156.746,-9999,-9999,-9999
2022-06-30,17:00,181.7082,1.02627,144.633,5.59844,12.2134,15,0,11.414,-27.4193,1.29778,25.7101,0,86.1056,-28.4571,-3.5151,-28.8488,-2.85051,0.418239,0.428571,0.422735,5.50998,5.25006,272.142,-156.852,-9999,-9999,-9999
2022-06-30,17:30,181.729,-0.187946,133.567,5.1638,12.2134,15,0,11.4087,-26.9405,2.25966,7.62645,0,88.274,-33.2295,-3.5212,-31.0486,-2.85827,0.418239,0.428579,0.422731,-1.38265,2.64667,271.09,-156.868,-9999,-9999,-9999
2022-06-30,18:00,181.7498,-0.268826,122.967,4.62031,12.2133,15,0,11.4118,-26.4956,3.15693,0.488919,0,87.9525,-35.8031,-3.52882,-33.3638,-2.8645,0.418248,0.428582,0.422729,-4.82489,1.32571,270.696,-156.962,-9999,-9999,-9999
2022-06-30,18:30,181.7707,0.0479817,132.5,4.16641,12.2133,15,0,11.4199,-25.7774,2.88171,0.00472847,0,87.3706,-32.4624,-3.53678,-34.9421,-2.87371,0.418248,0.428572,0.422739,-3.80179,0.00153564,270.616,-157.031,-9999,-9999,-9999
2022-06-30,19:00,181.7915,-0.348254,136.133,3.70052,12.2133,15,0,11.4221,-24.484,4.4692,-0.00183275,0,90.6216,-35.2102,-3.54555,-36.3248,-2.88128,0.418246,0.428575,0.422747,-4.64956,1.60743,269.931,-157.102,-9999,-9999,-9999
2022-06-30,19:30,181.8123,-0.227583,138.233,3.34818,12.2131,15,0,11.4128,-24.793,4.68452,-0.00191221,0,91.1912,-35.1365,-3.55428,-36.9629,-2.89083,0.418237,0.42857,0.42275,-4.62834,1.03062,269.703,-157.151,-9999,-9999,-9999
2022-06-30,20:00,181.8332,-0.308722,144.5,3.00339,12.213,15,0,11.4212,-22.494,6.0557,-0.00189184,0,91.1721,-32.9931,-3.56277,-37.6692,-2.90366,0.418239,0.428557,0.42274,-3.34917,1.09427,269.484,-157.237,-9999,-9999,-9999
2022-06-30,20:30,181.854,-0.369341,133.367,2.81901,12.2129,15,0,11.4096,-24.6455,4.70758,-0.00189989,0,84.8939,-35.6518,-3.57169,-37.9678,-2.91778,0.418247,0.428556,0.422733,-4.71944,1.57925,270.151,-157.191,-9999,-9999,-9999
2022-06-30,21:00,181.8748,0.0117219,132.867,2.80156,12.213,15,0,11.4224,-23.9387,4.72213,-0.00180835,0,86.5955,-32.4381,-3.58013,-38.0106,-2.9331,0.418251,0.428541,0.422731,-3.7492,0.0280439,269.527,-157.301,-9999,-9999,-9999
2022-06-30,21:30,181.8956,-0.241587,129.7,2.48776,12.213,15,0,11.4209,-22.3023,6.46848,-0.00170751,0,91.4107,-33.6012,-3.58746,-38.7702,-2.94418,0.418244,0.428529,0.422727,-3.79392,1.03646,268.637,-157.284,-9999,-9999,-9999
2022-06-30,22:00,181.9165,-0.40747,112.167,2.20078,12.2129,15,0,11.4099,-24.3101,6.15971,-0.00183476,0,93.3764,-37.2274,-3.59727,-38.998,-2.95255,0.41824,0.42852,0.422734,-4.80771,1.94979,268.665,-157.303,-9999,-9999,-9999
